Dataset Id	File Name	File ID	File Version
syn51704085	ATAC_1-_S1_L001_I1_001.fastq.gz	syn51704301	1
syn51704085	ATAC_1-_S1_L001_R1_001.fastq.gz	syn51704311	1
syn51704085	ATAC_1-_S1_L001_R2_001.fastq.gz	syn51704305	1
syn51704085	ATAC_1-_S1_L001_R3_001.fastq.gz	syn51704318	1
syn51704085	ATAC_1-_S1_L002_I1_001.fastq.gz	syn51704306	1
syn51704085	ATAC_1-_S1_L002_R1_001.fastq.gz	syn51704334	1
syn51704085	ATAC_1-_S1_L002_R2_001.fastq.gz	syn51704316	1
syn51704085	ATAC_1-_S1_L002_R3_001.fastq.gz	syn51704337	1
syn51704085	ATAC_2-_S2_L001_I1_001.fastq.gz	syn51704307	1
syn51704085	ATAC_2-_S2_L001_R1_001.fastq.gz	syn51704321	1
syn51704085	ATAC_2-_S2_L001_R2_001.fastq.gz	syn51704313	1
syn51704085	ATAC_2-_S2_L001_R3_001.fastq.gz	syn51704327	1
syn51704085	ATAC_2-_S2_L002_I1_001.fastq.gz	syn51704314	1
syn51704085	ATAC_2-_S2_L002_R1_001.fastq.gz	syn51704340	1
syn51704085	ATAC_2-_S2_L002_R2_001.fastq.gz	syn51704330	1
syn51704085	ATAC_2-_S2_L002_R3_001.fastq.gz	syn51704345	1
syn51704085	ATAC_3-_S3_L001_I1_001.fastq.gz	syn51704346	1
syn51704085	ATAC_3-_S3_L001_R1_001.fastq.gz	syn51704354	1
syn51704085	ATAC_3-_S3_L001_R2_001.fastq.gz	syn51704349	1
syn51704085	ATAC_3-_S3_L001_R3_001.fastq.gz	syn51704365	2
syn51704085	ATAC_3-_S3_L002_I1_001.fastq.gz	syn51704355	2
syn51704085	ATAC_3-_S3_L002_R1_001.fastq.gz	syn51704370	2
syn51704085	ATAC_3-_S3_L002_R2_001.fastq.gz	syn51704367	2
syn51704085	ATAC_3-_S3_L002_R3_001.fastq.gz	syn51704532	1
syn51704085	ATAC_4-_S4_L001_I1_001.fastq.gz	syn51704426	1
syn51704085	ATAC_4-_S4_L001_R1_001.fastq.gz	syn51704467	1
syn51704085	ATAC_4-_S4_L001_R2_001.fastq.gz	syn51704433	1
syn51704085	ATAC_4-_S4_L001_R3_001.fastq.gz	syn51704459	1
syn51704085	ATAC_4-_S4_L002_I1_001.fastq.gz	syn51704428	1
syn51704085	ATAC_4-_S4_L002_R1_001.fastq.gz	syn51704505	1
syn51704085	ATAC_4-_S4_L002_R2_001.fastq.gz	syn51704436	1
syn51704085	ATAC_4-_S4_L002_R3_001.fastq.gz	syn51704515	1
syn51704085	GEX_1_S1_L001_I1_001.fastq.gz	syn51704422	1
syn51704085	GEX_1_S1_L001_I2_001.fastq.gz	syn51704424	1
syn51704085	GEX_1_S1_L001_R1_001.fastq.gz	syn51704442	1
syn51704085	GEX_1_S1_L001_R2_001.fastq.gz	syn51704571	1
syn51704085	GEX_1_S1_L002_I1_001.fastq.gz	syn51704445	1
syn51704085	GEX_1_S1_L002_I2_001.fastq.gz	syn51704448	1
syn51704085	GEX_1_S1_L002_R1_001.fastq.gz	syn51704504	1
syn51704085	GEX_1_S1_L002_R2_001.fastq.gz	syn51704596	1
